repo,kind,nmains,imp,all,app_n,mod_n,main_used,app_tp_imp,app_fp_imp,app_fn_imp,mod_tp_imp,mod_fp_imp,mod_fn_imp,app_tp_all,app_fp_all,app_fn_all,mod_tp_all,mod_fp_all,mod_fn_all
cybergarage__go-job,app_cmd,3,48,137,19,49,cmd/jobctl,19,0,29,48,1,0,19,0,118,49,0,88
reugn__go-quartz,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
pardnchiu__go-scheduler,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
go-co-op__gocron,app_run_fail,1,3,14,NA,3,gocron-monitor-test,NA,NA,NA,3,0,0,NA,NA,NA,3,0,11
jasonlvhit__gocron,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
fieldryand__goflow,lib_no_realmain,0,23,48,NA,32,NONE,NA,NA,NA,23,9,0,NA,NA,NA,32,0,16
adhocore__gronx,app_cmd,1,0,0,0,0,cmd/tasker,0,0,0,0,0,0,0,0,0,0,0,0
bamzi__jobrunner,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
kilgaloon__leprechaun,app_cmd,2,18,36,18,18,cmd/leprechaun,18,0,0,18,0,0,18,0,18,18,0,18
netresearch__ofelia,app_root,1,43,90,43,45,.,43,0,0,43,2,0,43,0,47,45,0,45
kahoon__pending,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
romshark__sched,lib_no_realmain,0,3,15,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,12
yuseferi__scheduler,lib_no_realmain,0,4,121,NA,4,NONE,NA,NA,NA,4,0,0,NA,NA,NA,4,0,117
madflojo__tasks,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
tickstem__cron,app_cmd,2,6,17,1,6,cmd/tsk-local,1,0,5,6,0,0,1,0,16,6,0,11
tickstem__heartbeat,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
spyzhov__ajson,app_cmd,1,0,0,0,0,cmd/ajson,0,0,0,0,0,0,0,0,0,0,0,0
simonnilsson__ask,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
cocoonspace__dynjson,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
lucassscaravelli__ej,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
vtopc__epoch,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
valyala__fastjson,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
Jeffail__gabs,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
skanehira__gjo,app_root,1,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0
tidwall__gjson,lib_no_realmain,0,2,2,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,0
ddymko__go-jsonerror,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
limiu82214__gojmapr,lib_no_realmain,0,1,11,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,10
elgs__gojq,lib_no_realmain,0,1,5,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,4
nikolaydubina__htmljson,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
yazgazan__jaydiff,app_root,1,8,8,8,8,.,8,0,0,8,0,0,8,0,0,8,0,0
wI2L__jettison,lib_no_realmain,0,0,13,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,13
romshark__jscan,lib_no_realmain,0,0,10,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,10
m-zajac__json2go,app_cmd,3,3,9,3,3,cmd/json2go,3,0,0,3,0,0,3,0,6,3,0,6
neilotoole__jsoncolor,app_cmd,1,5,14,4,5,cmd/jc,4,0,1,5,0,0,4,0,10,5,0,9
wI2L__jsondiff,lib_no_realmain,0,4,4,NA,4,NONE,NA,NA,NA,4,0,0,NA,NA,NA,4,0,0
RichardKnop__jsonhal,lib_no_realmain,0,1,4,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,3
abusomani__jsonhandlers,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
sinhashubham95__jsonic,lib_no_realmain,0,0,10,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,10
Andrew-M-C__go.jsonvalue,lib_no_realmain,0,1,10,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,9
zerosnake0__jzon,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
Qntfy__kazaam,app_other,1,2,2,2,2,kazaam,2,0,0,2,0,0,2,0,0,2,0,0
mickep76__mapslice-json,lib_no_realmain,0,0,15,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,15
PerimeterX__marshmallow,lib_no_realmain,0,2,5,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,3
ohler55__ojg,app_cmd,2,0,0,0,0,cmd/benchmarks,0,0,0,0,0,0,0,0,0,0,0,0
dedalqq__omg.jsonparser,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
tidwall__sjson,lib_no_realmain,0,3,3,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,0
olvrng__ujson,lib_no_realmain,0,0,1,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,1
miladibra10__vjson,lib_no_realmain,0,7,13,NA,7,NONE,NA,NA,NA,7,0,0,NA,NA,NA,7,0,6
caarlos0__log,app_other,1,16,21,16,16,_examples,16,0,0,16,0,0,16,0,5,16,0,5
kpango__glg,lib_no_realmain,0,2,14,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,12
golang__glog,lib_no_realmain,0,0,1,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,1
utahta__go-cronowriter,lib_no_realmain,0,2,10,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,8
pieterclaerhout__go-log,app_run_fail,1,0,0,NA,0,cmd/go-log,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
henvic__httpretty,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
ssgreg__journald,lib_no_realmain,0,1,4,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,3
clok__kemba,lib_no_realmain,0,5,16,NA,6,NONE,NA,NA,NA,5,1,0,NA,NA,NA,6,0,10
Lifailon__lazyjournal,app_root,1,10,20,10,10,.,10,0,0,10,0,0,10,0,10,10,0,10
aerogo__log,lib_no_realmain,0,0,1,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,1
apex__log,app_other,12,18,48,3,19,_examples/apexlogs,3,0,15,18,1,0,3,0,45,19,0,29
go-playground__log,app_other,4,4,8,4,4,_examples/basic,4,0,0,4,0,0,4,0,4,4,0,4
heartwilltell__log,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
no-src__log,lib_no_realmain,0,1,2,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,1
inconshreveable__log15,lib_no_realmain,0,3,3,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,0
chzyer__logex,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
azer__logger,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
mbndr__logo,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
Sirupsen__logrus,lib_no_realmain,0,5,7,NA,2,NONE,NA,NA,NA,2,0,3,NA,NA,NA,2,0,5
cabify__logrusiowriter,lib_no_realmain,0,2,8,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,6
hashicorp__logutils,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
natefinch__lumberjack,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
gyozatech__noodlog,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
francoispqt__onelog,lib_no_realmain,0,1,4,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,3
phuslu__log,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
k0kubun__pp,lib_no_realmain,0,4,7,NA,4,NONE,NA,NA,NA,4,0,0,NA,NA,NA,4,0,3
arthurkiller__rollingWriter,lib_no_realmain,0,1,5,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,4
getsentry__sentry-go,app_other,28,3,239,2,107,_examples/basic,2,0,1,3,104,0,2,0,237,107,0,132
echocat__slf4g,app_run_fail,4,0,0,NA,0,native/internal/demo_flags,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
gookit__slog,lib_no_realmain,0,9,13,NA,9,NONE,NA,NA,NA,9,0,0,NA,NA,NA,9,0,4
samber__slog-formatter,lib_no_realmain,0,4,18,NA,4,NONE,NA,NA,NA,4,0,0,NA,NA,NA,4,0,14
samber__slog-multi,lib_no_realmain,0,3,28,NA,11,NONE,NA,NA,NA,3,8,0,NA,NA,NA,11,0,17
simukti__sqldb-logger,lib_no_realmain,0,0,9,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,9
structy__log,lib_no_realmain,0,3,3,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,0
DeRuina__timberjack,lib_no_realmain,0,1,2,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,1
lmittmann__tint,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
xybor-x__xylog,lib_no_realmain,0,4,4,NA,4,NONE,NA,NA,NA,4,0,0,NA,NA,NA,4,0,0
jfcg__yell,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
uber-go__zap,app_other,1,1,12,0,1,internal/readme,0,0,1,1,0,0,0,0,12,1,0,11
yuseferi__zax,lib_no_realmain,0,2,10,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,8
rs__zerolog,app_run_fail,2,6,7,NA,6,cmd/lint,NA,NA,NA,6,0,0,NA,NA,NA,6,0,1
edoger__zkits-logger,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
nkmr-jp__zl,lib_no_realmain,0,7,17,NA,7,NONE,NA,NA,NA,7,0,0,NA,NA,NA,7,0,10
georgebuilds__anneal,app_cmd,8,23,52,23,27,cmd/anneal,23,0,0,23,4,0,23,0,29,27,0,25
jbrukh__bayesian,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
born-ml__born,app_cmd,3,3,15,0,9,cmd/born,0,0,3,3,6,0,0,0,15,9,0,6
mirecl__catboost-cgo,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
rbmuller__datatrax,app_root,1,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0
sgrodriguez__ddt,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
MaxHalford__eaopt,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
khezen__evoli,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
Fontinalis__fonet,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
e-XpertSolutions__go-cluster,lib_no_realmain,0,1,14,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,13
patrikeh__go-deep,lib_no_realmain,0,0,3,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,3
goml__gobrain,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
tomcraven__goga,lib_no_realmain,0,0,4,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,4
cdipaolo__goml,lib_no_realmain,0,1,8,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,7
gomlx__gomlx,app_cmd,7,39,126,1,40,cmd/convert_v0.28,1,0,38,36,4,3,1,0,125,40,0,86
dathoangnd__gonet,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
c-bata__goptuna,app_run_fail,20,19,54,NA,20,_benchmarks/goptuna_solver,NA,NA,NA,19,1,0,NA,NA,NA,20,0,34
